run_name,timestamp,method,task,dr,early_cos_mean,early_cos_min,early_cos_delta,early_neg_cos_frac,early_align_mean,early_align_min,early_align_delta,final_acc,final_loss,final_f1
sst2_hetero_fedgeo_eps_0.2,2026-04-02_14-51-39,fedgeo,sst2,,0.1532586688796679,0.07431475073099136,-0.11498517543077469,0.0,0.6007811228434244,0.5498749017715454,-0.07362031936645508,0.8371559633027523,0.43506789515051275,
sst2_hetero_fedgeo_eps_0.3,2026-04-02_14-54-36,fedgeo,sst2,,0.1531199390689532,0.07635875791311264,-0.11294116824865341,0.0,0.6007316907246908,0.5511932373046875,-0.07230198383331299,0.8245412844036697,0.4528300980909155,
sst2_hetero_fedgeo_eps_0.5,2026-04-02_14-57-33,fedgeo,sst2,,0.15317488958438238,0.08075834065675735,-0.1085415855050087,0.0,0.6008862654368082,0.5541832447052002,-0.06931197643280029,0.8176605504587156,0.4721653285615761,
sst2_hetero_fedgeo_seed_1,2026-04-02_15-13-15,fedgeo,sst2,,0.10052329953759909,0.013419081456959248,-0.142064462415874,0.0,0.5676974654197693,0.5089531540870667,-0.09481090307235718,0.8084862385321101,0.5021210986642389,
sst2_hetero_fedgeo_seed_2,2026-04-02_15-19-10,fedgeo,sst2,,0.16149123758077621,0.07245200127363205,-0.13326814025640488,0.0,0.6055169105529785,0.5482839345932007,-0.08576846122741699,0.8440366972477065,0.3554963086552303,
sst2_hetero_fedgeo_seed_3,2026-04-02_15-25-05,fedgeo,sst2,,0.14034642030795416,0.04101905971765518,-0.13095489889383316,0.0,0.5924500425656637,0.5297183990478516,-0.0834583044052124,0.8600917431192661,0.3397291556615895,
sst2_hetero_fedgeo_soft,2026-04-01_19-36-10,fedgeo,sst2,,0.1534010594089826,0.08307940512895584,-0.10622052103281021,0.0,0.6009738047917684,0.5554584860801697,-0.06803673505783081,0.8153669724770642,0.47512692358310615,
sst2_hetero_fedgeo_v3,2026-04-02_14-09-05,fedgeo,sst2,,0.15326823542515436,0.09035200625658035,-0.0989479199051857,0.0,0.6010705629984537,0.5604274868965149,-0.0630677342414856,0.7889908256880734,0.5436255819241115,
sst2_hetero_fedgeo_v4,2026-04-02_15-49-50,fedgeo,sst2,,0.1532586837808291,0.07431479543447495,-0.11498513072729111,0.0,0.6007811029752096,0.5498748421669006,-0.07362037897109985,0.8371559633027523,0.4350680667360168,
sst2_hetero_fedgeo_v4_seed123,2026-04-02_16-09-15,fedgeo,sst2,,0.14210094511508942,0.10176060348749161,-0.09893467277288437,0.0,0.595140794912974,0.5705829858779907,-0.05835503339767456,0.8497706422018348,0.3233777639037425,
sst2_hetero_fedgeo_v4_seed42,2026-04-02_16-06-23,fedgeo,sst2,,0.1532586837808291,0.07431479543447495,-0.11498513072729111,0.0,0.6007811029752096,0.5498748421669006,-0.07362037897109985,0.8371559633027523,0.4350680667360168,
sst2_hetero_fedgeo_v4_seed999,2026-04-02_16-12-13,fedgeo,sst2,,0.1285359263420105,0.05690382421016693,-0.10082985460758209,0.0,0.5851062536239624,0.5347051620483398,-0.07131552696228027,0.8520642201834863,0.34901731493754673,
sst2_hetero_fedgeo_v5,2026-04-02_17-22-49,fedgeo,sst2,,0.15339991450309753,0.07261693477630615,-0.1166829913854599,0.0,0.6008388797442118,0.5487878322601318,-0.07470738887786865,0.838302752293578,0.41655837761562897,
sst2_hetero_fedgeo_v5a,2026-04-02_22-28-03,fedgeo,sst2,,0.15352177619934082,0.07215914130210876,-0.11714078485965729,0.0,0.6009030739466349,0.548488974571228,-0.07500624656677246,0.838302752293578,0.4134918702509972,
sst2_hetero_fedgeo_v5b,2026-04-02_22-31-27,fedgeo,sst2,,0.15373597790797552,0.07193458825349808,-0.11736533790826797,0.0,0.6010339856147766,0.5483655333518982,-0.0751296877861023,0.8394495412844036,0.4118134482772252,
sst2_hetero_fedgeo_v5b_dr60,2026-04-03_22-27-35,fedgeo,sst2,0.6,0.26524553696314496,0.05154474079608917,-0.170791357755661,0.0,0.6602526108423868,0.5352919101715088,-0.10947763919830322,0.8463302752293578,0.3477591062904498,
sst2_hetero_fedgeo_v5b_dr70,2026-04-03_22-31-03,fedgeo,sst2,0.7,0.23588468631108603,0.1001424491405487,-0.051806896924972534,0.0,0.6464436650276184,0.5679731369018555,-0.03447556495666504,0.8371559633027523,0.3573291742610275,
sst2_hetero_fedgeo_v5b_dr80,2026-04-03_22-34-34,fedgeo,sst2,0.8,0.20178548991680145,0.09201779961585999,-0.12763722240924835,0.0,0.6301114161809286,0.5633705854415894,-0.07892560958862305,0.8428899082568807,0.3553055321473047,
